student_id,item_id,response
0,0,1
0,1,0
0,2,0
0,3,0
0,4,1
0,5,1
0,6,0
0,7,0
0,8,1
0,9,0
0,10,1
0,11,1
0,12,0
0,13,0
0,14,1
0,15,0
0,16,0
0,17,1
0,18,1
0,19,1
1,0,1
1,1,0
1,2,0
1,3,0
1,4,1
1,5,0
1,6,1
1,7,1
1,8,1
1,9,0
1,10,1
1,11,1
1,12,0
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
2,0,1
2,1,0
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,0
2,8,1
2,9,1
2,10,1
2,11,1
2,12,0
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,0
3,0,1
3,1,0
3,2,0
3,3,0
3,4,1
3,5,1
3,6,1
3,7,0
3,8,1
3,9,1
3,10,0
3,11,1
3,12,0
3,13,0
3,14,0
3,15,1
3,16,0
3,17,1
3,18,1
3,19,0
4,0,1
4,1,0
4,2,0
4,3,0
4,4,1
4,5,1
4,6,1
4,7,0
4,8,1
4,9,0
4,10,1
4,11,1
4,12,0
4,13,0
4,14,1
4,15,0
4,16,0
4,17,1
4,18,0
4,19,0
5,0,1
5,1,0
5,2,0
5,3,1
5,4,1
5,5,1
5,6,0
5,7,1
5,8,1
5,9,0
5,10,0
5,11,1
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,1
5,18,1
5,19,1
6,0,1
6,1,0
6,2,1
6,3,0
6,4,1
6,5,0
6,6,1
6,7,1
6,8,1
6,9,0
6,10,1
6,11,1
6,12,1
6,13,0
6,14,0
6,15,1
6,16,0
6,17,1
6,18,1
6,19,0
7,0,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,0
7,10,1
7,11,1
7,12,0
7,13,1
7,14,1
7,15,1
7,16,1
7,17,1
7,18,1
7,19,0
8,0,1
8,1,0
8,2,0
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,0
8,10,1
8,11,1
8,12,0
8,13,0
8,14,1
8,15,1
8,16,1
8,17,1
8,18,1
8,19,1
9,0,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
9,11,1
9,12,0
9,13,1
9,14,1
9,15,1
9,16,1
9,17,1
9,18,1
9,19,0
10,0,1
10,1,0
10,2,1
10,3,0
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,0
10,10,1
10,11,1
10,12,0
10,13,0
10,14,1
10,15,0
10,16,0
10,17,1
10,18,1
10,19,0
11,0,1
11,1,0
11,2,0
11,3,0
11,4,1
11,5,1
11,6,0
11,7,1
11,8,1
11,9,0
11,10,0
11,11,1
11,12,0
11,13,0
11,14,1
11,15,1
11,16,1
11,17,0
11,18,1
11,19,1
12,0,1
12,1,1
12,2,1
12,3,0
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,0
12,10,0
12,11,1
12,12,0
12,13,0
12,14,1
12,15,0
12,16,0
12,17,0
12,18,1
12,19,0
13,0,1
13,1,0
13,2,0
13,3,0
13,4,1
13,5,1
13,6,1
13,7,0
13,8,1
13,9,0
13,10,1
13,11,1
13,12,0
13,13,1
13,14,1
13,15,1
13,16,1
13,17,1
13,18,1
13,19,0
14,0,1
14,1,0
14,2,0
14,3,0
14,4,0
14,5,1
14,6,1
14,7,1
14,8,1
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,1
14,15,0
14,16,1
14,17,0
14,18,0
14,19,0
15,0,1
15,1,0
15,2,1
15,3,0
15,4,1
15,5,0
15,6,0
15,7,0
15,8,1
15,9,0
15,10,1
15,11,1
15,12,0
15,13,0
15,14,1
15,15,0
15,16,1
15,17,1
15,18,1
15,19,1
16,0,1
16,1,0
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,11,1
16,12,1
16,13,1
16,14,1
16,15,1
16,16,1
16,17,1
16,18,1
16,19,1
17,0,1
17,1,0
17,2,1
17,3,0
17,4,1
17,5,1
17,6,1
17,7,0
17,8,1
17,9,0
17,10,1
17,11,1
17,12,0
17,13,1
17,14,1
17,15,0
17,16,1
17,17,1
17,18,1
17,19,0
18,0,1
18,1,0
18,2,1
18,3,0
18,4,1
18,5,1
18,6,0
18,7,1
18,8,1
18,9,0
18,10,0
18,11,1
18,12,0
18,13,0
18,14,1
18,15,1
18,16,1
18,17,1
18,18,1
18,19,1
19,0,1
19,1,0
19,2,1
19,3,0
19,4,0
19,5,1
19,6,1
19,7,1
19,8,1
19,9,0
19,10,0
19,11,1
19,12,0
19,13,0
19,14,0
19,15,0
19,16,1
19,17,1
19,18,0
19,19,0
20,0,1
20,1,0
20,2,1
20,3,0
20,4,1
20,5,1
20,6,1
20,7,1
20,8,1
20,9,0
20,10,1
20,11,1
20,12,0
20,13,1
20,14,1
20,15,1
20,16,1
20,17,1
20,18,0
20,19,0
21,0,1
21,1,0
21,2,1
21,3,1
21,4,1
21,5,1
21,6,1
21,7,1
21,8,1
21,9,0
21,10,1
21,11,1
21,12,0
21,13,1
21,14,1
21,15,1
21,16,1
21,17,1
21,18,1
21,19,0
22,0,1
22,1,0
22,2,1
22,3,1
22,4,1
22,5,1
22,6,1
22,7,1
22,8,1
22,9,0
22,10,1
22,11,1
22,12,0
22,13,0
22,14,1
22,15,0
22,16,1
22,17,1
22,18,0
22,19,1
23,0,1
23,1,1
23,2,1
23,3,1
23,4,1
23,5,1
23,6,1
23,7,0
23,8,1
23,9,1
23,10,1
23,11,1
23,12,1
23,13,1
23,14,1
23,15,1
23,16,1
23,17,1
23,18,1
23,19,1
24,0,1
24,1,1
24,2,1
24,3,0
24,4,1
24,5,1
24,6,1
24,7,1
24,8,1
24,9,1
24,10,1
24,11,1
24,12,1
24,13,0
24,14,1
24,15,1
24,16,1
24,17,1
24,18,0
24,19,0
25,0,1
25,1,1
25,2,0
25,3,1
25,4,1
25,5,1
25,6,1
25,7,0
25,8,1
25,9,1
25,10,1
25,11,1
25,12,0
25,13,1
25,14,1
25,15,1
25,16,1
25,17,1
25,18,1
25,19,1
26,0,1
26,1,0
26,2,1
26,3,0
26,4,1
26,5,1
26,6,1
26,7,0
26,8,1
26,9,0
26,10,1
26,11,1
26,12,0
26,13,1
26,14,1
26,15,1
26,16,0
26,17,1
26,18,1
26,19,0
27,0,1
27,1,0
27,2,1
27,3,1
27,4,1
27,5,1
27,6,1
27,7,1
27,8,1
27,9,0
27,10,1
27,11,1
27,12,1
27,13,0
27,14,1
27,15,1
27,16,0
27,17,1
27,18,1
27,19,0
28,0,1
28,1,0
28,2,1
28,3,1
28,4,1
28,5,1
28,6,1
28,7,0
28,8,1
28,9,0
28,10,1
28,11,1
28,12,0
28,13,1
28,14,1
28,15,1
28,16,1
28,17,1
28,18,1
28,19,1
29,0,1
29,1,0
29,2,0
29,3,0
29,4,1
29,5,1
29,6,1
29,7,0
29,8,1
29,9,0
29,10,1
29,11,1
29,12,0
29,13,1
29,14,1
29,15,1
29,16,1
29,17,1
29,18,1
29,19,1
30,0,1
30,1,0
30,2,0
30,3,1
30,4,0
30,5,1
30,6,1
30,7,1
30,8,1
30,9,0
30,10,1
30,11,1
30,12,0
30,13,1
30,14,0
30,15,0
30,16,1
30,17,1
30,18,1
30,19,0
31,0,1
31,1,0
31,2,1
31,3,1
31,4,1
31,5,1
31,6,1
31,7,1
31,8,1
31,9,0
31,10,1
31,11,1
31,12,0
31,13,1
31,14,1
31,15,1
31,16,1
31,17,1
31,18,1
31,19,0
32,0,1
32,1,0
32,2,0
32,3,0
32,4,1
32,5,1
32,6,1
32,7,0
32,8,1
32,9,0
32,10,1
32,11,1
32,12,0
32,13,1
32,14,1
32,15,0
32,16,1
32,17,1
32,18,1
32,19,0
33,0,1
33,1,0
33,2,0
33,3,1
33,4,1
33,5,1
33,6,1
33,7,0
33,8,1
33,9,0
33,10,0
33,11,1
33,12,0
33,13,0
33,14,0
33,15,0
33,16,1
33,17,1
33,18,0
33,19,0
34,0,1
34,1,0
34,2,0
34,3,1
34,4,1
34,5,0
34,6,1
34,7,0
34,8,1
34,9,0
34,10,1
34,11,1
34,12,0
34,13,0
34,14,1
34,15,1
34,16,0
34,17,0
34,18,1
34,19,0
35,0,1
35,1,0
35,2,1
35,3,1
35,4,1
35,5,1
35,6,1
35,7,0
35,8,1
35,9,1
35,10,1
35,11,1
35,12,0
35,13,0
35,14,1
35,15,0
35,16,1
35,17,1
35,18,1
35,19,0
36,0,0
36,1,0
36,2,0
36,3,0
36,4,1
36,5,1
36,6,1
36,7,0
36,8,1
36,9,0
36,10,0
36,11,0
36,12,0
36,13,0
36,14,0
36,15,0
36,16,0
36,17,1
36,18,0
36,19,0
37,0,1
37,1,1
37,2,0
37,3,1
37,4,1
37,5,1
37,6,1
37,7,0
37,8,1
37,9,0
37,10,1
37,11,1
37,12,0
37,13,1
37,14,1
37,15,1
37,16,1
37,17,1
37,18,0
37,19,0
38,0,0
38,1,0
38,2,1
38,3,0
38,4,1
38,5,1
38,6,1
38,7,0
38,8,1
38,9,0
38,10,1
38,11,1
38,12,0
38,13,1
38,14,1
38,15,1
38,16,0
38,17,1
38,18,1
38,19,1
39,0,1
39,1,0
39,2,0
39,3,1
39,4,1
39,5,1
39,6,1
39,7,1
39,8,1
39,9,0
39,10,0
39,11,1
39,12,0
39,13,1
39,14,1
39,15,0
39,16,1
39,17,1
39,18,0
39,19,0
40,0,1
40,1,0
40,2,1
40,3,1
40,4,1
40,5,1
40,6,1
40,7,0
40,8,1
40,9,0
40,10,1
40,11,1
40,12,0
40,13,1
40,14,1
40,15,1
40,16,1
40,17,1
40,18,1
40,19,1
41,0,1
41,1,0
41,2,0
41,3,1
41,4,1
41,5,0
41,6,1
41,7,0
41,8,1
41,9,0
41,10,1
41,11,1
41,12,0
41,13,0
41,14,1
41,15,0
41,16,0
41,17,0
41,18,1
41,19,0
42,0,1
42,1,0
42,2,0
42,3,0
42,4,1
42,5,0
42,6,1
42,7,1
42,8,1
42,9,0
42,10,0
42,11,1
42,12,0
42,13,0
42,14,1
42,15,1
42,16,1
42,17,1
42,18,1
42,19,1
43,0,1
43,1,0
43,2,0
43,3,0
43,4,1
43,5,1
43,6,1
43,7,0
43,8,1
43,9,1
43,10,1
43,11,1
43,12,0
43,13,0
43,14,0
43,15,1
43,16,1
43,17,1
43,18,1
43,19,0
44,0,1
44,1,0
44,2,1
44,3,0
44,4,1
44,5,1
44,6,1
44,7,0
44,8,1
44,9,0
44,10,1
44,11,1
44,12,0
44,13,1
44,14,1
44,15,1
44,16,0
44,17,1
44,18,1
44,19,0
45,0,1
45,1,0
45,2,1
45,3,1
45,4,1
45,5,1
45,6,1
45,7,0
45,8,1
45,9,0
45,10,1
45,11,1
45,12,0
45,13,1
45,14,1
45,15,1
45,16,1
45,17,1
45,18,1
45,19,0
46,0,1
46,1,1
46,2,0
46,3,1
46,4,1
46,5,1
46,6,1
46,7,1
46,8,1
46,9,1
46,10,1
46,11,1
46,12,1
46,13,1
46,14,1
46,15,1
46,16,1
46,17,1
46,18,1
46,19,0
47,0,1
47,1,0
47,2,1
47,3,1
47,4,1
47,5,1
47,6,1
47,7,1
47,8,1
47,9,1
47,10,1
47,11,1
47,12,0
47,13,0
47,14,1
47,15,1
47,16,0
47,17,1
47,18,1
47,19,0
48,0,1
48,1,1
48,2,0
48,3,1
48,4,1
48,5,1
48,6,1
48,7,1
48,8,1
48,9,0
48,10,0
48,11,1
48,12,0
48,13,1
48,14,0
48,15,0
48,16,0
48,17,1
48,18,0
48,19,0
49,0,1
49,1,0
49,2,0
49,3,1
49,4,1
49,5,1
49,6,1
49,7,1
49,8,1
49,9,0
49,10,1
49,11,1
49,12,0
49,13,1
49,14,0
49,15,0
49,16,1
49,17,1
49,18,0
49,19,0
50,0,1
50,1,0
50,2,0
50,3,0
50,4,0
50,5,1
50,6,1
50,7,1
50,8,1
50,9,0
50,10,1
50,11,1
50,12,0
50,13,0
50,14,0
50,15,0
50,16,0
50,17,1
50,18,1
50,19,0
51,0,1
51,1,0
51,2,0
51,3,0
51,4,1
51,5,1
51,6,1
51,7,1
51,8,1
51,9,0
51,10,1
51,11,0
51,12,0
51,13,0
51,14,1
51,15,1
51,16,0
51,17,0
51,18,0
51,19,1
52,0,1
52,1,0
52,2,1
52,3,0
52,4,1
52,5,1
52,6,1
52,7,1
52,8,1
52,9,0
52,10,1
52,11,1
52,12,0
52,13,1
52,14,1
52,15,1
52,16,1
52,17,1
52,18,0
52,19,0
53,0,1
53,1,0
53,2,1
53,3,0
53,4,1
53,5,1
53,6,1
53,7,1
53,8,1
53,9,0
53,10,1
53,11,1
53,12,0
53,13,0
53,14,1
53,15,1
53,16,0
53,17,0
53,18,0
53,19,0
54,0,0
54,1,0
54,2,0
54,3,0
54,4,1
54,5,1
54,6,1
54,7,1
54,8,1
54,9,1
54,10,1
54,11,1
54,12,0
54,13,0
54,14,0
54,15,0
54,16,0
54,17,0
54,18,1
54,19,1
55,0,1
55,1,0
55,2,1
55,3,1
55,4,1
55,5,1
55,6,1
55,7,1
55,8,1
55,9,1
55,10,1
55,11,1
55,12,0
55,13,0
55,14,0
55,15,1
55,16,1
55,17,1
55,18,1
55,19,0
56,0,1
56,1,0
56,2,1
56,3,0
56,4,1
56,5,1
56,6,1
56,7,1
56,8,1
56,9,0
56,10,1
56,11,1
56,12,1
56,13,0
56,14,1
56,15,1
56,16,1
56,17,1
56,18,1
56,19,1
57,0,1
57,1,0
57,2,1
57,3,1
57,4,1
57,5,1
57,6,1
57,7,1
57,8,1
57,9,0
57,10,0
57,11,1
57,12,0
57,13,1
57,14,1
57,15,0
57,16,1
57,17,1
57,18,1
57,19,1
58,0,1
58,1,1
58,2,1
58,3,1
58,4,1
58,5,1
58,6,1
58,7,1
58,8,1
58,9,0
58,10,1
58,11,1
58,12,0
58,13,1
58,14,1
58,15,1
58,16,1
58,17,1
58,18,1
58,19,1
59,0,1
59,1,0
59,2,0
59,3,0
59,4,1
59,5,1
59,6,1
59,7,1
59,8,1
59,9,0
59,10,1
59,11,1
59,12,0
59,13,1
59,14,0
59,15,1
59,16,1
59,17,1
59,18,1
59,19,0
60,0,1
60,1,0
60,2,1
60,3,1
60,4,1
60,5,1
60,6,1
60,7,0
60,8,1
60,9,0
60,10,1
60,11,1
60,12,0
60,13,1
60,14,1
60,15,0
60,16,1
60,17,0
60,18,1
60,19,0
61,0,1
61,1,0
61,2,0
61,3,0
61,4,1
61,5,1
61,6,1
61,7,1
61,8,1
